indel_type	indelvar	acmg_points	bin
deletion	0.977	3	PP3_+3
deletion	0.907	1	PP3_+1
deletion	0.847	1	PP3_+1
deletion	0.975	3	PP3_+3
deletion	0.827	1	PP3_+1
deletion	0.834	1	PP3_+1
deletion	0.95	2	PP3_+2
deletion	0.941	2	PP3_+2
deletion	0.916	2	PP3_+2
deletion	0.99	3	PP3_+3
deletion	0.988	3	PP3_+3
deletion	0.954	2	PP3_+2
deletion	0.958	3	PP3_+3
deletion	0.96	3	PP3_+3
deletion	0.988	3	PP3_+3
deletion	0.902	1	PP3_+1
deletion	0.862	1	PP3_+1
deletion	0.923	2	PP3_+2
deletion	0.68	0	No-evidence
deletion	0.405	0	No-evidence
deletion	0.24	-2	BP4_-2
deletion	0.347	0	No-evidence
deletion	0.971	3	PP3_+3
deletion	0.978	3	PP3_+3
deletion	0.867	1	PP3_+1
deletion	0.098	-2	BP4_-2
deletion	0.312	-1	BP4_-1
deletion	0.136	-2	BP4_-2
deletion	0.055	-2	BP4_-2
deletion	0.051	-2	BP4_-2
deletion	0.083	-2	BP4_-2
deletion	0.967	3	PP3_+3
deletion	0.978	3	PP3_+3
deletion	0.94	2	PP3_+2
deletion	0.607	0	No-evidence
deletion	0.056	-2	BP4_-2
deletion	0.137	-2	BP4_-2
deletion	0.832	1	PP3_+1
deletion	0.984	3	PP3_+3
deletion	0.02	-4	BP4_-4
deletion	0.017	-4	BP4_-4
deletion	0.011	-4	BP4_-4
deletion	0.013	-4	BP4_-4
deletion	0.019	-4	BP4_-4
deletion	0.016	-4	BP4_-4
deletion	0.125	-2	BP4_-2
deletion	0.007	-4	BP4_-4
deletion	0.003	-4	BP4_-4
deletion	0.01	-4	BP4_-4
deletion	0.032	-3	BP4_-3
deletion	0.02	-4	BP4_-4
deletion	0.213	-2	BP4_-2
deletion	0.095	-2	BP4_-2
deletion	0.157	-2	BP4_-2
deletion	0.028	-3	BP4_-3
deletion	0.25	-2	BP4_-2
deletion	0.846	1	PP3_+1
deletion	0.028	-3	BP4_-3
deletion	0.064	-2	BP4_-2
deletion	0.117	-2	BP4_-2
deletion	0.012	-4	BP4_-4
deletion	0.01	-4	BP4_-4
deletion	0.023	-4	BP4_-4
deletion	0.004	-4	BP4_-4
deletion	0.384	0	No-evidence
deletion	0.177	-2	BP4_-2
deletion	0.591	0	No-evidence
deletion	0.165	-2	BP4_-2
deletion	0.968	3	PP3_+3
deletion	0.877	1	PP3_+1
deletion	0.29	-1	BP4_-1
deletion	0.121	-2	BP4_-2
deletion	0.12	-2	BP4_-2
deletion	0.306	-1	BP4_-1
deletion	0.233	-2	BP4_-2
deletion	0.145	-2	BP4_-2
deletion	0.18	-2	BP4_-2
deletion	0.813	1	PP3_+1
deletion	0.077	-2	BP4_-2
deletion	0.402	0	No-evidence
deletion	0.06	-2	BP4_-2
deletion	0.272	-1	BP4_-1
deletion	0.405	0	No-evidence
deletion	0.232	-2	BP4_-2
deletion	0.148	-2	BP4_-2
deletion	0.507	0	No-evidence
deletion	0.42	0	No-evidence
deletion	0.477	0	No-evidence
deletion	0.939	2	PP3_+2
deletion	0.729	1	PP3_+1
deletion	0.689	0	No-evidence
deletion	0.823	1	PP3_+1
deletion	0.874	1	PP3_+1
deletion	0.93	2	PP3_+2
deletion	0.839	1	PP3_+1
deletion	0.745	1	PP3_+1
deletion	0.977	3	PP3_+3
deletion	0.414	0	No-evidence
deletion	0.813	1	PP3_+1
deletion	0.78	1	PP3_+1
deletion	0.215	-2	BP4_-2
deletion	0.32	-1	BP4_-1
deletion	0.186	-2	BP4_-2
deletion	0.316	-1	BP4_-1
deletion	0.423	0	No-evidence
deletion	0.102	-2	BP4_-2
deletion	0.879	1	PP3_+1
deletion	0.936	2	PP3_+2
deletion	0.482	0	No-evidence
deletion	0.163	-2	BP4_-2
deletion	0.964	3	PP3_+3
deletion	0.939	2	PP3_+2
deletion	0.042	-2	BP4_-2
deletion	0.05	-2	BP4_-2
deletion	0.097	-2	BP4_-2
deletion	0.785	1	PP3_+1
deletion	0.578	0	No-evidence
deletion	0.75	1	PP3_+1
deletion	0.975	3	PP3_+3
deletion	0.261	-1	BP4_-1
deletion	0.991	3	PP3_+3
deletion	0.901	1	PP3_+1
deletion	0.417	0	No-evidence
deletion	0.958	3	PP3_+3
deletion	0.961	3	PP3_+3
deletion	0.935	2	PP3_+2
deletion	0.574	0	No-evidence
deletion	0.977	3	PP3_+3
deletion	0.904	1	PP3_+1
deletion	0.925	2	PP3_+2
deletion	0.879	1	PP3_+1
deletion	0.439	0	No-evidence
deletion	0.331	0	No-evidence
deletion	0.549	0	No-evidence
deletion	0.571	0	No-evidence
deletion	0.941	2	PP3_+2
deletion	0.894	1	PP3_+1
deletion	0.049	-2	BP4_-2
deletion	0.883	1	PP3_+1
deletion	0.734	1	PP3_+1
deletion	0.653	0	No-evidence
deletion	0.83	1	PP3_+1
deletion	0.935	2	PP3_+2
deletion	0.19	-2	BP4_-2
deletion	0.215	-2	BP4_-2
deletion	0.244	-2	BP4_-2
deletion	0.273	-1	BP4_-1
deletion	0.091	-2	BP4_-2
deletion	0.319	-1	BP4_-1
deletion	0.887	1	PP3_+1
deletion	0.955	2	PP3_+2
deletion	0.952	2	PP3_+2
deletion	0.985	3	PP3_+3
deletion	0.959	3	PP3_+3
deletion	0.972	3	PP3_+3
deletion	0.341	0	No-evidence
deletion	0.354	0	No-evidence
deletion	0.53	0	No-evidence
deletion	0.138	-2	BP4_-2
deletion	0.99	3	PP3_+3
deletion	0.212	-2	BP4_-2
deletion	0.835	1	PP3_+1
deletion	0.191	-2	BP4_-2
deletion	0.916	2	PP3_+2
deletion	0.967	3	PP3_+3
deletion	0.989	3	PP3_+3
deletion	0.902	1	PP3_+1
deletion	0.195	-2	BP4_-2
deletion	0.889	1	PP3_+1
deletion	0.856	1	PP3_+1
deletion	0.977	3	PP3_+3
deletion	0.961	3	PP3_+3
deletion	0.131	-2	BP4_-2
deletion	0.157	-2	BP4_-2
deletion	0.98	3	PP3_+3
deletion	0.924	2	PP3_+2
deletion	0.244	-2	BP4_-2
deletion	0.474	0	No-evidence
deletion	0.893	1	PP3_+1
deletion	0.98	3	PP3_+3
deletion	0.936	2	PP3_+2
deletion	0.895	1	PP3_+1
deletion	0.081	-2	BP4_-2
deletion	0.146	-2	BP4_-2
deletion	0.95	2	PP3_+2
deletion	0.88	1	PP3_+1
deletion	0.888	1	PP3_+1
deletion	0.879	1	PP3_+1
deletion	0.969	3	PP3_+3
deletion	0.96	3	PP3_+3
deletion	0.164	-2	BP4_-2
deletion	0.084	-2	BP4_-2
deletion	0.068	-2	BP4_-2
deletion	0.098	-2	BP4_-2
deletion	0.815	1	PP3_+1
deletion	0.87	1	PP3_+1
deletion	0.392	0	No-evidence
deletion	0.095	-2	BP4_-2
deletion	0.179	-2	BP4_-2
deletion	0.043	-2	BP4_-2
deletion	0.967	3	PP3_+3
deletion	0.969	3	PP3_+3
deletion	0.954	2	PP3_+2
deletion	0.992	3	PP3_+3
deletion	0.905	1	PP3_+1
deletion	0.983	3	PP3_+3
deletion	0.835	1	PP3_+1
deletion	0.025	-4	BP4_-4
deletion	0.93	2	PP3_+2
deletion	0.266	-1	BP4_-1
deletion	0.68	0	No-evidence
deletion	0.871	1	PP3_+1
deletion	0.231	-2	BP4_-2
deletion	0.536	0	No-evidence
deletion	0.444	0	No-evidence
deletion	0.525	0	No-evidence
deletion	0.17	-2	BP4_-2
deletion	0.348	0	No-evidence
deletion	0.506	0	No-evidence
deletion	0.825	1	PP3_+1
deletion	0.784	1	PP3_+1
deletion	0.957	3	PP3_+3
deletion	0.349	0	No-evidence
deletion	0.945	2	PP3_+2
deletion	0.968	3	PP3_+3
deletion	0.898	1	PP3_+1
deletion	0.931	2	PP3_+2
deletion	0.931	2	PP3_+2
deletion	0.886	1	PP3_+1
deletion	0.482	0	No-evidence
deletion	0.593	0	No-evidence
deletion	0.889	1	PP3_+1
deletion	0.714	0	No-evidence
deletion	0.308	-1	BP4_-1
deletion	0.309	-1	BP4_-1
deletion	0.803	1	PP3_+1
deletion	0.619	0	No-evidence
deletion	0.974	3	PP3_+3
deletion	0.844	1	PP3_+1
deletion	0.11	-2	BP4_-2
deletion	0.112	-2	BP4_-2
deletion	0.741	1	PP3_+1
deletion	0.995	3	PP3_+3
deletion	0.074	-2	BP4_-2
deletion	0.289	-1	BP4_-1
deletion	0.43	0	No-evidence
deletion	0.991	3	PP3_+3
deletion	0.789	1	PP3_+1
deletion	0.974	3	PP3_+3
deletion	0.937	2	PP3_+2
deletion	0.785	1	PP3_+1
deletion	0.214	-2	BP4_-2
deletion	0.853	1	PP3_+1
deletion	0.95	2	PP3_+2
deletion	0.851	1	PP3_+1
deletion	0.173	-2	BP4_-2
deletion	0.185	-2	BP4_-2
deletion	0.902	1	PP3_+1
deletion	0.828	1	PP3_+1
deletion	0.567	0	No-evidence
deletion	0.116	-2	BP4_-2
deletion	0.457	0	No-evidence
deletion	0.164	-2	BP4_-2
deletion	0.501	0	No-evidence
deletion	0.803	1	PP3_+1
deletion	0.515	0	No-evidence
deletion	0.909	1	PP3_+1
deletion	0.853	1	PP3_+1
deletion	0.622	0	No-evidence
deletion	0.211	-2	BP4_-2
deletion	0.745	1	PP3_+1
deletion	0.857	1	PP3_+1
deletion	0.809	1	PP3_+1
deletion	0.868	1	PP3_+1
deletion	0.924	2	PP3_+2
deletion	0.565	0	No-evidence
deletion	0.956	2	PP3_+2
deletion	0.957	3	PP3_+3
deletion	0.939	2	PP3_+2
deletion	0.779	1	PP3_+1
deletion	0.691	0	No-evidence
deletion	0.251	-2	BP4_-2
deletion	0.746	1	PP3_+1
deletion	0.962	3	PP3_+3
deletion	0.918	2	PP3_+2
deletion	0.832	1	PP3_+1
deletion	0.907	1	PP3_+1
deletion	0.824	1	PP3_+1
deletion	0.991	3	PP3_+3
deletion	0.191	-2	BP4_-2
deletion	0.881	1	PP3_+1
deletion	0.835	1	PP3_+1
deletion	0.494	0	No-evidence
deletion	0.925	2	PP3_+2
deletion	0.916	2	PP3_+2
deletion	0.996	3	PP3_+3
deletion	0.844	1	PP3_+1
deletion	0.537	0	No-evidence
deletion	0.953	2	PP3_+2
deletion	0.972	3	PP3_+3
deletion	0.045	-2	BP4_-2
deletion	0.085	-2	BP4_-2
deletion	0.311	-1	BP4_-1
deletion	0.103	-2	BP4_-2
deletion	0.778	1	PP3_+1
deletion	0.251	-2	BP4_-2
deletion	0.662	0	No-evidence
deletion	0.871	1	PP3_+1
deletion	0.973	3	PP3_+3
deletion	0.945	2	PP3_+2
deletion	0.986	3	PP3_+3
deletion	0.901	1	PP3_+1
deletion	0.662	0	No-evidence
deletion	0.916	2	PP3_+2
deletion	0.937	2	PP3_+2
deletion	0.904	1	PP3_+1
deletion	0.483	0	No-evidence
deletion	0.462	0	No-evidence
deletion	0.95	2	PP3_+2
deletion	0.981	3	PP3_+3
deletion	0.251	-2	BP4_-2
deletion	0.967	3	PP3_+3
deletion	0.411	0	No-evidence
deletion	0.051	-2	BP4_-2
deletion	0.824	1	PP3_+1
deletion	0.792	1	PP3_+1
deletion	0.976	3	PP3_+3
deletion	0.766	1	PP3_+1
deletion	0.627	0	No-evidence
deletion	0.705	0	No-evidence
deletion	0.08	-2	BP4_-2
deletion	0.934	2	PP3_+2
deletion	0.99	3	PP3_+3
deletion	0.992	3	PP3_+3
deletion	0.865	1	PP3_+1
deletion	0.888	1	PP3_+1
deletion	0.998	3	PP3_+3
deletion	0.995	3	PP3_+3
deletion	0.565	0	No-evidence
deletion	0.482	0	No-evidence
deletion	0.074	-2	BP4_-2
deletion	0.851	1	PP3_+1
deletion	0.925	2	PP3_+2
deletion	0.906	1	PP3_+1
deletion	0.116	-2	BP4_-2
deletion	0.843	1	PP3_+1
deletion	0.18	-2	BP4_-2
deletion	0.167	-2	BP4_-2
deletion	0.065	-2	BP4_-2
deletion	0.987	3	PP3_+3
deletion	0.051	-2	BP4_-2
deletion	0.905	1	PP3_+1
deletion	0.941	2	PP3_+2
deletion	0.855	1	PP3_+1
deletion	0.906	1	PP3_+1
deletion	0.883	1	PP3_+1
deletion	0.414	0	No-evidence
deletion	0.231	-2	BP4_-2
deletion	0.217	-2	BP4_-2
deletion	0.967	3	PP3_+3
deletion	0.988	3	PP3_+3
deletion	0.998	3	PP3_+3
deletion	0.98	3	PP3_+3
deletion	0.985	3	PP3_+3
deletion	0.98	3	PP3_+3
deletion	0.919	2	PP3_+2
deletion	0.993	3	PP3_+3
deletion	0.943	2	PP3_+2
deletion	0.967	3	PP3_+3
deletion	0.74	1	PP3_+1
deletion	0.939	2	PP3_+2
deletion	0.079	-2	BP4_-2
deletion	0.045	-2	BP4_-2
deletion	0.084	-2	BP4_-2
deletion	0.071	-2	BP4_-2
deletion	0.201	-2	BP4_-2
deletion	0.143	-2	BP4_-2
deletion	0.066	-2	BP4_-2
deletion	0.377	0	No-evidence
deletion	0.41	0	No-evidence
deletion	0.996	3	PP3_+3
deletion	0.886	1	PP3_+1
deletion	0.876	1	PP3_+1
deletion	0.415	0	No-evidence
deletion	0.125	-2	BP4_-2
deletion	0.2	-2	BP4_-2
deletion	0.67	0	No-evidence
deletion	0.107	-2	BP4_-2
deletion	0.914	1	PP3_+1
deletion	0.075	-2	BP4_-2
deletion	0.146	-2	BP4_-2
deletion	0.162	-2	BP4_-2
deletion	0.113	-2	BP4_-2
deletion	0.564	0	No-evidence
deletion	0.418	0	No-evidence
deletion	0.631	0	No-evidence
deletion	0.243	-2	BP4_-2
deletion	0.723	0	No-evidence
deletion	0.06	-2	BP4_-2
deletion	0.249	-2	BP4_-2
deletion	0.367	0	No-evidence
deletion	0.133	-2	BP4_-2
deletion	0.245	-2	BP4_-2
deletion	0.916	2	PP3_+2
deletion	0.984	3	PP3_+3
deletion	0.978	3	PP3_+3
deletion	0.883	1	PP3_+1
deletion	0.924	2	PP3_+2
deletion	0.863	1	PP3_+1
deletion	0.893	1	PP3_+1
deletion	0.772	1	PP3_+1
deletion	0.277	-1	BP4_-1
deletion	0.445	0	No-evidence
deletion	0.864	1	PP3_+1
deletion	0.571	0	No-evidence
deletion	0.083	-2	BP4_-2
deletion	0.203	-2	BP4_-2
deletion	0.175	-2	BP4_-2
deletion	0.235	-2	BP4_-2
deletion	0.048	-2	BP4_-2
deletion	0.046	-2	BP4_-2
deletion	0.166	-2	BP4_-2
deletion	0.221	-2	BP4_-2
deletion	0.948	2	PP3_+2
deletion	0.106	-2	BP4_-2
deletion	0.061	-2	BP4_-2
deletion	0.906	1	PP3_+1
deletion	0.491	0	No-evidence
deletion	0.855	1	PP3_+1
deletion	0.684	0	No-evidence
deletion	0.825	1	PP3_+1
deletion	0.831	1	PP3_+1
deletion	0.96	3	PP3_+3
deletion	0.961	3	PP3_+3
deletion	0.96	3	PP3_+3
deletion	0.169	-2	BP4_-2
deletion	0.51	0	No-evidence
deletion	0.152	-2	BP4_-2
deletion	0.951	2	PP3_+2
deletion	0.677	0	No-evidence
deletion	0.894	1	PP3_+1
deletion	0.933	2	PP3_+2
deletion	0.013	-4	BP4_-4
deletion	0.061	-2	BP4_-2
deletion	0.013	-4	BP4_-4
deletion	0.714	0	No-evidence
deletion	0.093	-2	BP4_-2
deletion	0.094	-2	BP4_-2
deletion	0.188	-2	BP4_-2
deletion	0.092	-2	BP4_-2
deletion	0.095	-2	BP4_-2
deletion	0.095	-2	BP4_-2
deletion	0.124	-2	BP4_-2
deletion	0.067	-2	BP4_-2
deletion	0.044	-2	BP4_-2
deletion	0.045	-2	BP4_-2
deletion	0.054	-2	BP4_-2
deletion	0.045	-2	BP4_-2
deletion	0.35	0	No-evidence
deletion	0.214	-2	BP4_-2
deletion	0.224	-2	BP4_-2
deletion	0.202	-2	BP4_-2
deletion	0.265	-1	BP4_-1
deletion	0.123	-2	BP4_-2
deletion	0.289	-1	BP4_-1
deletion	0.34	0	No-evidence
deletion	0.237	-2	BP4_-2
deletion	0.249	-2	BP4_-2
deletion	0.072	-2	BP4_-2
deletion	0.08	-2	BP4_-2
deletion	0.033	-3	BP4_-3
deletion	0.778	1	PP3_+1
deletion	0.253	-2	BP4_-2
deletion	0.206	-2	BP4_-2
deletion	0.166	-2	BP4_-2
deletion	0.038	-3	BP4_-3
deletion	0.953	2	PP3_+2
deletion	0.897	1	PP3_+1
deletion	0.977	3	PP3_+3
deletion	0.284	-1	BP4_-1
deletion	0.1	-2	BP4_-2
deletion	0.159	-2	BP4_-2
deletion	0.018	-4	BP4_-4
deletion	0.021	-4	BP4_-4
deletion	0.043	-2	BP4_-2
deletion	0.043	-2	BP4_-2
deletion	0.038	-3	BP4_-3
deletion	0.68	0	No-evidence
deletion	0.202	-2	BP4_-2
deletion	0.867	1	PP3_+1
deletion	0.927	2	PP3_+2
deletion	0.979	3	PP3_+3
deletion	0.965	3	PP3_+3
deletion	0.909	1	PP3_+1
deletion	0.152	-2	BP4_-2
deletion	0.985	3	PP3_+3
deletion	0.92	2	PP3_+2
deletion	0.215	-2	BP4_-2
deletion	0.124	-2	BP4_-2
deletion	0.106	-2	BP4_-2
deletion	0.169	-2	BP4_-2
deletion	0.456	0	No-evidence
deletion	0.086	-2	BP4_-2
deletion	0.082	-2	BP4_-2
deletion	0.068	-2	BP4_-2
deletion	0.064	-2	BP4_-2
deletion	0.096	-2	BP4_-2
deletion	0.077	-2	BP4_-2
deletion	0.201	-2	BP4_-2
deletion	0.239	-2	BP4_-2
deletion	0.085	-2	BP4_-2
deletion	0.172	-2	BP4_-2
deletion	0.082	-2	BP4_-2
deletion	0.847	1	PP3_+1
deletion	0.089	-2	BP4_-2
deletion	0.719	0	No-evidence
deletion	0.395	0	No-evidence
deletion	0.81	1	PP3_+1
deletion	0.351	0	No-evidence
deletion	0.133	-2	BP4_-2
deletion	0.099	-2	BP4_-2
deletion	0.985	3	PP3_+3
deletion	0.158	-2	BP4_-2
deletion	0.275	-1	BP4_-1
deletion	0.43	0	No-evidence
deletion	0.264	-1	BP4_-1
deletion	0.884	1	PP3_+1
deletion	0.9	1	PP3_+1
deletion	0.972	3	PP3_+3
deletion	0.981	3	PP3_+3
deletion	0.893	1	PP3_+1
deletion	0.141	-2	BP4_-2
deletion	0.189	-2	BP4_-2
deletion	0.097	-2	BP4_-2
deletion	0.276	-1	BP4_-1
deletion	0.271	-1	BP4_-1
deletion	0.601	0	No-evidence
deletion	0.941	2	PP3_+2
deletion	0.795	1	PP3_+1
deletion	0.876	1	PP3_+1
deletion	0.213	-2	BP4_-2
deletion	0.503	0	No-evidence
deletion	0.352	0	No-evidence
deletion	0.093	-2	BP4_-2
deletion	0.018	-4	BP4_-4
deletion	0.51	0	No-evidence
deletion	0.053	-2	BP4_-2
deletion	0.286	-1	BP4_-1
deletion	0.282	-1	BP4_-1
deletion	0.723	0	No-evidence
deletion	0.073	-2	BP4_-2
deletion	0.172	-2	BP4_-2
deletion	0.817	1	PP3_+1
deletion	0.217	-2	BP4_-2
deletion	0.878	1	PP3_+1
deletion	0.907	1	PP3_+1
deletion	0.913	1	PP3_+1
deletion	0.922	2	PP3_+2
deletion	0.958	3	PP3_+3
deletion	0.913	1	PP3_+1
deletion	0.147	-2	BP4_-2
deletion	0.464	0	No-evidence
deletion	0.936	2	PP3_+2
deletion	0.724	0	No-evidence
deletion	0.95	2	PP3_+2
deletion	0.253	-2	BP4_-2
deletion	0.107	-2	BP4_-2
deletion	0.015	-4	BP4_-4
deletion	0.061	-2	BP4_-2
deletion	0.387	0	No-evidence
deletion	0.982	3	PP3_+3
deletion	0.943	2	PP3_+2
deletion	0.683	0	No-evidence
deletion	0.697	0	No-evidence
deletion	0.876	1	PP3_+1
deletion	0.92	2	PP3_+2
deletion	0.802	1	PP3_+1
deletion	0.066	-2	BP4_-2
